"country","year","location","yield","region","average_temperature","SUM_PRCP","log_yield"
"Zimbabwe","2022","Shamva",9.49207843137255,"Region 1",16,363,2.25045760143156
"Zimbabwe","2022","Shamva",5.96759663865546,"Region 1",16,363,1.78634427326067
"Zimbabwe","2022","Shamva",7.58104201680672,"Region 1",16,363,2.02565065944197
"Zimbabwe","2022","Shamva",10.5098039215686,"Region 1",16,363,2.35230852834647
"Zimbabwe","2022","Shamva",7.68627450980392,"Region 1",16,363,2.03943620706614
"Zimbabwe","2022","Shamva",9.43740056022409,"Region 1",16,363,2.24468057785464
"Zimbabwe","2022","Shamva",4.21109243697479,"Region 1",16,363,1.43772210025085
"Zimbabwe","2022","Shamva",10.4121008403361,"Region 1",16,363,2.34296867209657
"Zimbabwe","2022","Shamva",11.5813109243697,"Region 1",16,363,2.44939267164166
"Zimbabwe","2022","Shamva",12.5777030812325,"Region 1",16,363,2.53192564964396
"Zimbabwe","2022","Shamva",10.1727731092437,"Region 1",16,363,2.31971484833314
"Zimbabwe","2022","Shamva",11.6078431372549,"Region 1",16,363,2.45168100215968
"Zimbabwe","2022","Shamva",5.86361904761905,"Region 1",16,363,1.76876699787976
"Zimbabwe","2022","Shamva",10.0851092436975,"Region 1",16,363,2.31106000364275
"Zimbabwe","2022","Shamva",8.1941512605042,"Region 1",16,363,2.1034206388645
"Zimbabwe","2022","Shamva",8.82447058823529,"Region 1",16,363,2.17752861101822
"Zimbabwe","2022","Shamva",9.0044593837535,"Region 1",16,363,2.19771994170675
"Zimbabwe","2022","Shamva",12.9005714285714,"Region 1",16,363,2.55727160717503
"Zimbabwe","2022","Shamva",12.0370196078431,"Region 1",16,363,2.48798686836056
"Zimbabwe","2022","Shamva",9.15002801120448,"Region 1",16,363,2.21375694061657
"Zimbabwe","2022","Shamva",10.1611204481793,"Region 1",16,363,2.31856871640252
"Zimbabwe","2022","Shamva",7.00235294117647,"Region 1",16,363,1.94624622702857
"Zimbabwe","2022","Shamva",6.87040896358543,"Region 1",16,363,1.92722363336866
"Zimbabwe","2022","Shamva",9.03565266106443,"Region 1",16,363,2.20117815840971
"Zimbabwe","2022","Shamva",9.01485714285714,"Region 1",16,363,2.19887400992486
"Zimbabwe","2022","Shamva",11.242487394958,"Region 1",16,363,2.41970011846646
"Zimbabwe","2022","Shamva",11.6033613445378,"Region 1",16,363,2.45129482721763
"Zimbabwe","2022","Shamva",8.07296358543417,"Region 1",16,363,2.08852064974176
"Zimbabwe","2022","Shamva",7.97257142857143,"Region 1",16,363,2.0760070792312
"Zimbabwe","2022","Shamva",10.6998319327731,"Region 1",16,363,2.37022803412703
"Zimbabwe","2022","Shamva",8.52885154061625,"Region 1",16,363,2.14345471476225
"Zimbabwe","2022","Shamva",9.6476862745098,"Region 1",16,363,2.26671812230334
"Zimbabwe","2022","Shamva",10.8674509803922,"Region 1",16,363,2.38577217320969
"Zimbabwe","2022","Shamva",7.45196638655462,"Region 1",16,363,2.00847794206822
"Zimbabwe","2022","Shamva",12.2492773109244,"Region 1",16,363,2.50546694022388
"Zimbabwe","2022","Shamva",8.4512268907563,"Region 1",16,363,2.13431162500177
"Zimbabwe","2022","Shamva",10.9427450980392,"Region 1",16,363,2.39267668855623
"Zimbabwe","2022","Shamva",8.80439215686274,"Region 1",16,363,2.17525070570523
"Zimbabwe","2022","Shamva",9.72549019607843,"Region 1",16,363,2.2747502940006
"Zimbabwe","2022","Shamva",10.8358991596639,"Region 1",16,363,2.38286461813155
"Zimbabwe","2022","Shamva",7.30514285714286,"Region 1",16,363,1.9885786010885
"Zimbabwe","2022","Shamva",10.7154285714286,"Region 1",16,363,2.37168462545918
"Zimbabwe","2022","Shamva",7.56383193277311,"Region 1",16,363,2.02337793119096
"Zimbabwe","2022","Shamva",12.277243697479,"Region 1",16,363,2.5077474429226
"Zimbabwe","2022","Shamva",12.8559327731092,"Region 1",16,363,2.55380539919855
"Zimbabwe","2022","Shamva",8.98205042016807,"Region 1",16,363,2.19522818811762
"Zimbabwe","2022","Shamva",10.7987899159664,"Region 1",16,363,2.37943408303476
"Zimbabwe","2022","Shamva",9.02525490196078,"Region 1",16,363,2.20002674780466
"Zimbabwe","2022","Shamva",11.9556302521008,"Region 1",16,363,2.48120231822424
"Zimbabwe","2022","Shamva",6.63717647058823,"Region 1",16,363,1.89268664271919
"Zimbabwe","2022","Shamva",5.7773893557423,"Region 1",16,363,1.75395191209462
"Zimbabwe","2022","Shamva",9.33647058823529,"Region 1",16,363,2.23392829948035
"Zimbabwe","2022","Shamva",11.7647058823529,"Region 1",16,363,2.46510402249182
"Zimbabwe","2022","Shamva",7.57207843137255,"Region 1",16,363,2.02446759137222
"Zimbabwe","2022","Shamva",7.81624649859944,"Region 1",16,363,2.05620445193502
"Zimbabwe","2022","Shamva",5.86541176470588,"Region 1",16,363,1.76907268675201
"Zimbabwe","2022","Shamva",5.58252100840336,"Region 1",16,363,1.71964046798588
"Zimbabwe","2022","Shamva",6.06171428571429,"Region 1",16,363,1.80199264550808
"Zimbabwe","2022","Shamva",6.83096918767507,"Region 1",16,363,1.92146656507859
"Zimbabwe","2022","Shamva",10.0795518207283,"Region 1",16,363,2.31050879942541
"Zimbabwe","2022","Shamva",11.6476414565826,"Region 1",16,363,2.45510370943718
"Zimbabwe","2022","Shamva",7.88114285714286,"Region 1",16,363,2.06447292598591
"Zimbabwe","2022","Shamva",8.86964705882353,"Region 1",16,363,2.1826350050928
"Zimbabwe","2022","Shamva",9.04605042016807,"Region 1",16,363,2.20232824479294
"Zimbabwe","2022","Shamva",11.3593725490196,"Region 1",16,363,2.43004317840664
"Zimbabwe","2022","Shamva",11.4353837535014,"Region 1",16,363,2.43671238646576
"Zimbabwe","2022","Shamva",10.0047955182073,"Region 1",16,363,2.30306452986655
"Zimbabwe","2022","Shamva",8.24721568627451,"Region 1",16,363,2.10987565081037
"Zimbabwe","2022","Shamva",8.80833613445378,"Region 1",16,363,2.17569856109614
"Zimbabwe","2022","Shamva",9.11740056022409,"Region 1",16,363,2.21018473716731
"Zimbabwe","2022","Shamva",8.66689075630252,"Region 1",16,363,2.15951010551554
"Zimbabwe","2022","Shamva",8.92073949579832,"Region 1",16,363,2.18837884627205
"Zimbabwe","2022","Shamva",11.022700280112,"Region 1",16,363,2.39995680820164
"Zimbabwe","2022","Chisumbanje",1.14088515406162,"Region 4",20.25,161,0.131804412055569
"Zimbabwe","2022","Chisumbanje",0.497371428571429,"Region 4",20.25,161,-0.698418190815881
"Zimbabwe","2022","Chisumbanje",0.423529411764706,"Region 4",20.25,161,-0.859132318034206
"Zimbabwe","2022","Chisumbanje",0.21283137254902,"Region 4",20.25,161,-1.54725510498899
"Zimbabwe","2022","Chisumbanje",0.305837535014006,"Region 4",20.25,161,-1.18470124935048
"Zimbabwe","2022","Chisumbanje",0.402249859943978,"Region 4",20.25,161,-0.910681841291239
"Zimbabwe","2022","Chisumbanje",1.45934341736695,"Region 4",20.25,161,0.377986620436291
"Zimbabwe","2022","Chisumbanje",1.21372324929972,"Region 4",20.25,161,0.193692700668651
"Zimbabwe","2022","Chisumbanje",0.657550700280112,"Region 4",20.25,161,-0.419233407210909
"Zimbabwe","2022","Chisumbanje",1.47049411764706,"Region 4",20.25,161,0.385598478763898
"Zimbabwe","2022","Chisumbanje",1.92953725490196,"Region 4",20.25,161,0.657280209869237
"Zimbabwe","2022","Chisumbanje",1.30409411764706,"Region 4",20.25,161,0.2655086370096
