"country","year","location","yield","anthesisDate","Asi","plant_height","ear_position","stem_lodging","Epp","Ear_rot","region","total_precipitation","average_temperature","log_yield"
"Zimbabwe","2021","Chisumbanje",3.39260952380952,"84","2","192","0.52083333333333304","0","0.76470588235294101","7.6923076923076898","Region 4",148.6,22.25,1.22159939630585
"Zimbabwe","2021","Chisumbanje",3.76393142857143,"79","-1","194","0.52577319587628901","8.8235294117647101","0.82352941176470595","7.1428571428571397","Region 4",148.6,22.25,1.32546400385566
"Zimbabwe","2021","Chisumbanje",5.90787226890756,"80","1","210","0.547619047619048","11.764705882352899","0.88235294117647101","3.3333333333333299","Region 4",148.6,22.25,1.776285744413
"Zimbabwe","2021","Chisumbanje",3.22843966386555,"81","1","205","0.52682926829268295","11.538461538461499","0.61538461538461497","12.5","Region 4",148.6,22.25,1.17199894431305
"Zimbabwe","2021","Chisumbanje",5.11444974789916,"83","2","190","0.53157894736842104","12.1212121212121","0.72727272727272696","4.1666666666666696","Region 4",148.6,22.25,1.63206981744856
"Zimbabwe","2021","Chisumbanje",3.32090084033613,"84","2","223","0.60089686098654704","3.125","0.625","5","Region 4",148.6,22.25,1.20023608357369
"Zimbabwe","2021","Chisumbanje",4.31273949579832,"82","0","200","0.53500000000000003","16.6666666666667","0.8","8.3333333333333304","Region 4",148.6,22.25,1.46157331607303
"Zimbabwe","2021","Chisumbanje",3.78295932773109,"81","2","200","0.49","3.2258064516128999","0.74193548387096797","4.3478260869565197","Region 4",148.6,22.25,1.3305065942664
"Zimbabwe","2021","Chisumbanje",4.13403787114846,"81","2","198","0.5","6.8965517241379297","0.75862068965517204","9.0909090909090899","Region 4",148.6,22.25,1.41925462211468
"Zimbabwe","2021","Chisumbanje",5.24832268907563,"82","0","189","0.50264550264550301","6.4516129032258096","0.77419354838709697","8.3333333333333304","Region 4",148.6,22.25,1.65790853776132
"Zimbabwe","2021","Chisumbanje",4.28737613445378,"82","3","175","0.57142857142857095","3.3333333333333299","0.76666666666666705","8.6956521739130395","Region 4",148.6,22.25,1.45567492215142
"Zimbabwe","2021","Chisumbanje",3.94559103641457,"85","2","212","0.54716981132075504","8","0.72","5.5555555555555598","Region 4",148.6,22.25,1.37259876219257
"Zimbabwe","2021","Chisumbanje",3.66675540616246,"81","3","214","0.53738317757009302","18.75","0.71875","4.3478260869565197","Region 4",148.6,22.25,1.29930718551808
"Zimbabwe","2021","Chisumbanje",4.49872672268907,"80","4","235","0.65531914893617005","3.4482758620689702","0.75862068965517204","4.5454545454545503","Region 4",148.6,22.25,1.50379440622468
"Zimbabwe","2021","Chisumbanje",3.93914621848739,"79","2","204","0.49019607843137297","15.625","0.65625","4.7619047619047601","Region 4",148.6,22.25,1.37096400401253
"Zimbabwe","2021","Chisumbanje",4.25923406162465,"79","2","216","0.62037037037037002","12.9032258064516","0.67741935483870996","9.5238095238095202","Region 4",148.6,22.25,1.44908934637503
"Zimbabwe","2021","Chisumbanje",3.52496941176471,"83","1","222","0.51351351351351304","18.181818181818201","0.81818181818181801","7.4074074074074101","Region 4",148.6,22.25,1.25987175871302
"Zimbabwe","2021","Chisumbanje",3.10391036414566,"78","1","204","0.56372549019607798","11.764705882352899","0.73529411764705899","8","Region 4",148.6,22.25,1.13266272437362
"Zimbabwe","2021","Chisumbanje",5.31074509803922,"79","2","194","0.58762886597938102","12.1212121212121","0.84848484848484895","3.5714285714285698","Region 4",148.6,22.25,1.66973214519135
"Zimbabwe","2021","Chisumbanje",5.52652369747899,"84","3","217","0.68202764976958496","9.0909090909090899","0.87878787878787901","6.8965517241379297","Region 4",148.6,22.25,1.70955899173199
"Zimbabwe","2021","Chisumbanje",3.16791036414566,"83","1","164","0.54878048780487798","4.7619047619047601","0.76190476190476197","12.5","Region 4",148.6,22.25,1.15307217940595
"Zimbabwe","2021","Chisumbanje",4.22792067226891,"80","-1","192","0.51041666666666696","6.8965517241379297","0.82758620689655205","8.3333333333333304","Region 4",148.6,22.25,1.4417103053601
"Zimbabwe","2021","Chisumbanje",3.66642196078431,"82","2","200","0.55500000000000005","20.8333333333333","0.58333333333333304","7.1428571428571397","Region 4",148.6,22.25,1.29921624393527
"Zimbabwe","2021","Chisumbanje",3.80492549019608,"81","1","165","0.43636363636363601","13.7931034482759","0.58620689655172398","11.764705882352899","Region 4",148.6,22.25,1.33629640904467
"Zimbabwe","2021","Chisumbanje",3.41452728291317,"89","3","230","0.65217391304347805","4.7619047619047601","0.43","11.1111111111111","Region 4",148.6,22.25,1.22803905969699
"Zimbabwe","2021","Chisumbanje",3.43021714285714,"83","0","193","0.56994818652849699","6.6666666666666696","0.63333333333333297","5.2631578947368398","Region 4",148.6,22.25,1.23262356612948
"Zimbabwe","2021","Chisumbanje",4.01774431372549,"80","1","205","0.482926829268293","12.5","0.84375","3.7037037037037002","Region 4",148.6,22.25,1.39072062915775
"Zimbabwe","2021","Chisumbanje",3.69670991596639,"82","2","184","0.52173913043478304","10.714285714285699","0.71428571428571397","5","Region 4",148.6,22.25,1.30744321216578
"Zimbabwe","2021","Chisumbanje",4.5840062745098,"80","1","205","0.63414634146341498","6.4516129032258096","0.83870967741935498","3.8461538461538498","Region 4",148.6,22.25,1.52257334819636
"Zimbabwe","2021","Chisumbanje",4.08445490196078,"82","1","207","0.54589371980676304","10.714285714285699","0.85714285714285698","12.5","Region 4",148.6,22.25,1.40718828047571
