"country","year","location","yield"
"Zimbabwe",2021,"Chisumbanje","4.36201411764706"
"Zimbabwe",2021,"Chisumbanje","4.49004100840336"
"Zimbabwe",2021,"Chisumbanje","4.62434957983193"
"Zimbabwe",2021,"Chisumbanje","4.35517490196078"
"Zimbabwe",2021,"Chisumbanje","2.67275473389356"
"Zimbabwe",2021,"Chisumbanje","4.35076661064426"
"Zimbabwe",2021,"Chisumbanje","4.47087327731092"
"Zimbabwe",2021,"Chisumbanje","4.5748974789916"
"Zambia",2020,"Zamseed RF 1","10.5341782342567"
"Zambia",2020,"Zamseed RF 1","7.07268335944547"
"Zambia",2020,"Zamseed RF 1","9.79535401069519"
"Zambia",2020,"Zamseed RF 1","7.12799106775577"
"Zambia",2020,"Zamseed RF 1","7.33977240103588"
"Zambia",2020,"Zamseed RF 1","7.26269365485325"
"Zambia",2020,"Zamseed RF 1","8.59644700865421"
"Zambia",2020,"Zamseed RF 1","7.9488"
"Zambia",2020,"Zamseed RF 1","10.1983814415907"
"Zambia",2020,"Zamseed RF 1","7.68440119102759"
"Zambia",2020,"Zamseed RF 1","8.54298412698413"
"Zambia",2020,"Zamseed RF 1","10.4945018932874"
"Zambia",2020,"Zamseed RF 1","9.46514469582705"
"Zambia",2020,"Zamseed RF 1","4.10747338935574"
"Zambia",2020,"Zamseed RF 1","7.81307727566551"
"Zambia",2020,"Zamseed RF 1","8.12049916778306"
"Zambia",2020,"Zamseed RF 1","8.21196602316602"
"Zambia",2020,"Zamseed RF 1","7.7613915156424"
"Zambia",2020,"Zamseed RF 1","6.57825573770492"
"Zambia",2020,"Zamseed RF 1","7.90921680672269"
"Zambia",2020,"Zamseed RF 1","10.0355997377674"
"Zambia",2020,"Zamseed RF 1","10.237613217263"
"Zambia",2020,"Zamseed RF 1","5.39185840707965"
"Zambia",2020,"Zamseed RF 1","7.41616941176471"
"Zambia",2020,"Zamseed RF 1","7.33752236623463"
"Zambia",2020,"Zamseed RF 1","7.98710071105365"
"Zambia",2020,"Zamseed RF 1","7.32713596914176"
"Zambia",2020,"Zamseed RF 1","10.3323200184183"
"Zambia",2020,"Zamseed RF 1","8.11249644473174"
"Zambia",2020,"Zamseed RF 1","8.91297959183673"
"Zambia",2020,"Zamseed RF 1","8.02804321728691"
"Zambia",2020,"Zamseed RF 1","9.13240071301248"
"Zambia",2020,"Zamseed RF 1","10.0195985655409"
"Zambia",2020,"Zamseed RF 1","7.14239172592114"
"Zambia",2020,"Zamseed RF 1","6.5325500111549"
"Zambia",2020,"Zamseed RF 1","6.57057540106952"
"Zambia",2020,"Zamseed RF 1","8.48349123196449"
"Zambia",2020,"Zamseed RF 1","9.43414444038485"
